Datum,Warengruppe,Umsatz,Jahr,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wochentag,Monat,Wochentag_c,Monat_c,Wochenende,SommerferienSH,SommerferienNRW,SommerferienNDS,SommerferienHE,Feiertag,Ostern,ChristiHimmelfahrt,Pfingsten,TDE,Silvester,Ostern_ext,ChristiHimmelfahrt_ext,Pfingsten_ext,Silvester_ext,Jahreszeit,Fruehling,Sommer,Herbst,Winter,Umsatz_NA,Umsatz_lag_1W,Umsatz_lag_2W,Umsatz_lag_3W,Umsatz_lag_4W,Umsatz_lag
2014-01-01,1,128.92,2014,0,5,4.5,8,4,1,Mittwoch,Januar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,1,TRUE,NA,86.41,85.91,128.92,128.92
2014-01-01,2,267.38,2014,0,5,4.5,8,4,1,Mittwoch,Januar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,1,TRUE,NA,241.88,258.73,267.38,267.38
2014-01-01,3,118.6,2014,0,5,4.5,8,4,1,Mittwoch,Januar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,1,TRUE,NA,78.67,76.94,118.6,118.6
2014-01-01,4,63.7,2014,0,5,4.5,8,4,1,Mittwoch,Januar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,1,TRUE,NA,81.02,49.73,63.7,63.7
2014-01-01,5,214.94,2014,0,5,4.5,8,4,1,Mittwoch,Januar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Winter,0,0,0,1,TRUE,NA,183.9,155.81,214.94,214.94
2014-01-02,1,153.17,2014,0,7,6.2,9,5,1,Donnerstag,Januar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,0,0,1,FALSE,NA,101.59,88.21,120.97,0
2014-01-02,2,449.42,2014,0,7,6.2,9,5,1,Donnerstag,Januar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,0,0,1,FALSE,NA,265.15,246.42,270.13,0
2014-01-02,3,142.31,2014,0,7,6.2,9,5,1,Donnerstag,Januar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,0,0,1,FALSE,NA,66.42,99.2,114.61,0
2014-01-02,4,71.73,2014,0,7,6.2,9,5,1,Donnerstag,Januar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,0,0,1,FALSE,NA,79.06,62.75,66.27,0
2014-01-02,5,257.53,2014,0,7,6.2,9,5,1,Donnerstag,Januar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,0,0,1,FALSE,NA,175.65,180.75,190.11,0
2014-01-03,1,109.48,2014,0,7,6.8,10,6,1,Freitag,Januar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Winter,0,0,0,1,FALSE,152.37,114.6,85.53,112.02,0
